distance_km,empreinte_train_kg,empreinte_avion_kg,ratio_co2,operateur,type_service,duree_trajet_min
534.0,18.69,84.372,0.2215,MÁV-START Vasúti Személyszállító Zrt.,0,263.0
529.0,16.0,83.582,0.1914,Укрзалізниця,1,632.0
672.0,11.8,106.176,0.1111,RegioJet a.s.,1,762.0
845.0,18.0,133.51,0.1348,ÖBB-Personenverkehr AG,1,710.0
482.0,0.16,76.156,0.0021,Vygruppen AS,1,447.0
653.0,10.1,103.174,0.0979,Укрзалізниця,1,551.0
488.0,7.7,77.104,0.0999,Укрзалізниця,1,569.0
743.0,18.575,117.394,0.1582,Trenitalia S.p.A,0,331.0
737.0,14.1,116.446,0.1211,Укрзалізниця,1,637.0
1503.0,25.6,237.474,0.1078,Укрзалізниця,1,1134.0
523.0,14.644,82.516,0.1775,TCDD Taşımacılık A.Ş.,0,256.0
952.0,2.7,150.416,0.018,SNCF Voyageurs SA,1,837.0
456.0,15.048,72.048,0.2089,PKP Intercity S.A.,0,200.0
588.0,0.18,92.904,0.0019,Go-Ahead Norge AS,1,551.0
702.0,12.6,110.916,0.1136,Укрзалізниця,1,575.0
956.0,17.6,151.048,0.1165,Укрзалізниця,1,1026.0
604.0,14.0,95.432,0.1467,Astra Trans Carpatic SRL,1,767.0
914.0,18.9,144.412,0.1309,Caledonian Sleeper Ltd.,1,675.0
851.0,19.4,134.458,0.1443,TCDD Taşımacılık A.Ş.,1,946.0
567.0,12.0,89.586,0.1339,TCDD Taşımacılık A.Ş.,1,538.0
852.0,16.2,134.616,0.1203,European Sleeper Cooperatïe,1,923.0
489.0,10.0,77.262,0.1294,First Greater Western Ltd.,1,443.0
638.0,22.5,100.804,0.2232,PKP Intercity S.A.,1,561.0
811.0,18.0,128.138,0.1405,TCDD Taşımacılık A.Ş.,1,815.0
922.0,15.4,145.676,0.1057,Укрзалізниця,1,984.0
876.0,15.4,138.408,0.1113,Укрзалізниця,1,734.0
875.0,2.6,138.25,0.0188,SNCF Voyageurs SA,1,735.0
1052.0,1.1,166.216,0.0066,SJ AB,1,779.0
638.0,22.5,100.804,0.2232,PKP Intercity S.A.,1,514.0
858.0,18.2,135.564,0.1343,C.F.R. Călători S.A.,1,1052.0
602.0,3.9,95.116,0.041,SNCF Voyageurs SA,1,728.0
1278.0,19.9,201.924,0.0986,Укрзалізниця,1,1172.0
1305.0,20.9,206.19,0.1014,Укрзалізниця,1,1114.0
1083.0,9.176,171.266,0.0536,European Sleeper Cooperatïe,0,565.0
1115.0,19.2,176.17,0.109,Укрзалізниця,1,935.0
717.0,11.472,113.306,0.1012,HŽ Putnički prijevoz d.o.o.,0,343.0
1092.0,22.1,172.536,0.1281,Trenitalia S.p.A,1,754.0
1112.0,16.0,175.696,0.0911,ÖBB-Personenverkehr AG,1,740.0
587.0,11.74,92.746,0.1266,Укрзалізниця,0,345.0
1120.0,16.2,176.96,0.0915,European Sleeper Cooperatïe,1,974.0
1465.0,25.3,231.47,0.1093,Укрзалізниця,1,1362.0
405.0,9.8,63.99,0.1531,C.F.R. Călători S.A.,1,396.0
441.0,8.82,69.678,0.1266,Укрзалізниця,0,268.0
839.0,18.8,132.562,0.1418,Caledonian Sleeper Ltd.,1,765.0
553.0,15.064,87.022,0.1731,RegioJet a.s.,0,271.0
672.0,11.8,106.176,0.1111,RegioJet a.s.,1,731.0
469.0,13.7,74.102,0.1849,Железнице Србије ад,1,658.0
591.0,13.9,93.378,0.1489,TCDD Taşımacılık A.Ş.,1,820.0
714.0,2.2,112.812,0.0195,SNCF Voyageurs SA,1,571.0
962.0,17.9,151.996,0.1178,Trenitalia S.p.A,1,768.0
1127.0,22.54,178.066,0.1266,Укрзалізниця,0,528.0
874.0,4.37,138.092,0.0316,SNCF Voyageurs SA,0,346.0
605.0,12.4,95.59,0.1297,БДЖ - Пътнически превози ЕООД,1,670.0
540.0,11.6,85.32,0.136,Укрзалізниця,1,757.0
1115.0,19.2,176.17,0.109,Укрзалізниця,1,901.0
799.0,17.7,126.242,0.1402,TCDD Taşımacılık A.Ş.,1,1184.0
1052.0,1.1,166.216,0.0066,SJ AB,1,815.0
865.0,20.8,136.67,0.1522,Укрзалізниця,1,933.0
914.0,18.9,144.412,0.1309,Caledonian Sleeper Ltd.,1,690.0
654.0,15.696,103.332,0.1519,ÖBB-Personenverkehr AG,0,311.0
867.0,21.675,136.941,0.1583,České dráhy a.s.,0,344.0
995.0,17.0,157.21,0.1081,MÁV-START Vasúti Személyszállító Zrt.,1,765.0
700.0,6.5,110.6,0.0588,HŽ Putnički prijevoz d.o.o.,1,834.0
528.0,13.2,83.424,0.1582,Trenitalia S.p.A,0,210.0
1120.0,16.2,176.96,0.0915,European Sleeper Cooperatïe,1,929.0
877.0,18.1,138.566,0.1306,Caledonian Sleeper Ltd.,1,617.0
704.0,0.71,111.232,0.0064,SJ AB,1,563.0
667.0,16.675,105.394,0.1582,Trenitalia S.p.A,0,309.0
658.0,10.8,103.964,0.1039,Укрзалізниця,1,563.0
1107.0,16.2,174.906,0.0926,European Sleeper Cooperatïe,1,698.5
784.0,29.435,123.826,0.2377,MÁV-START Vasúti Személyszállító Zrt.,0,378.0
1077.0,19.2,170.166,0.1128,Укрзалізниця,1,903.0
700.0,12.9,110.6,0.1166,Укрзалізниця,1,626.0
634.0,1.902,100.172,0.019,SJ AB,0,327.0
702.0,12.6,110.916,0.1136,Укрзалізниця,1,582.0
680.0,26.4,107.44,0.2457,PKP Intercity S.A.,1,586.0
