distance_km,empreinte_train_kg,empreinte_avion_kg,ratio_co2,operateur,pays_operateur,trajet_id,gare_depart,gare_arrivee,heure_depart,heure_arrivee,type_service
740.0,20.6,116.92,0.1762,RegioJet a.s.,CZ,RJ 1039,Praha hl.n.,Przemyśl Gł.,1899-12-30T20:56:00.000Z,1899-12-30T07:33:00.000Z,NUIT
1263.0,28.8,199.554,0.1443,TCDD Taşımacılık A.Ş.,TR,TCDD 52013,Kurtalan,Ankara,1899-12-30T09:30:00.000Z,1899-12-30T11:56:00.000Z,NUIT
867.0,21.675,136.941,0.1583,České dráhy a.s.,CZ,JOUR_CD_442,Plzen Hlavni,Praha Hlavni,1899-12-30T14:26:00.000Z,1899-12-30T20:10:00.000Z,JOUR
700.0,12.9,110.6,0.1166,Укрзалізниця,UA,UZ 052 K,Przemyśl Gł.,Kyiv Pasazhyrskyi,1899-12-30T20:28:00.000Z,1899-12-30T07:34:00.000Z,NUIT
435.0,10.44,68.73,0.1519,БДЖ - Пътнически превози ЕООД,BG,JOUR_BDZ_1230,Sofia,Burgas,1899-12-30T07:55:00.000Z,1899-12-30T11:27:00.000Z,JOUR
1073.0,20.6,169.534,0.1215,Укрзалізниця,UA,UZ 150,Chernivtsi,Poltava,1899-12-30T14:32:00.000Z,1899-12-30T09:37:00.000Z,NUIT
1263.0,28.8,199.554,0.1443,TCDD Taşımacılık A.Ş.,TR,TCDD 22014,Ankara,Kurtalan,1899-12-30T11:20:00.000Z,1899-12-30T14:31:00.000Z,NUIT
763.0,17.366,120.554,0.1441,TCDD Taşımacılık A.Ş.,TR,JOUR_TCDD_2090,Istanbul Halkali,Ankara Gari,1899-12-30T08:30:00.000Z,1899-12-30T14:45:00.000Z,JOUR
1847.0,30.4,291.826,0.1042,Merresor AB,DE,ST 305,Malmö C,Innsbruck Hbf,1899-12-30T14:40:00.000Z,1899-12-30T13:00:00.000Z,NUIT
745.0,15.645,118.01,0.1326,Железнице Србије ад,RS,JOUR_ZS_7451,Novi Sad,Beograd Centar,1899-12-30T13:50:00.000Z,1899-12-30T20:13:00.000Z,JOUR
840.0,16.6,132.72,0.1251,Укрзалізниця,UA,UZ 036 L,Przemyśl Gł.,Odesa Holovna,1899-12-30T20:28:00.000Z,1899-12-30T12:55:00.000Z,NUIT
1009.0,20.3,159.422,0.1273,Trenitalia S.p.A,IT,FS IC Notte 798,Salerno,Torino Porta Susa,1899-12-30T20:38:00.000Z,1899-12-30T09:05:00.000Z,NUIT
867.0,17.7,136.986,0.1292,Trenitalia S.p.A,IT,FS IC Notte 1955 (P),Roma Termini,Palermo Centrale,1899-12-30T20:31:00.000Z,1899-12-30T09:24:00.000Z,NUIT
644.0,14.7,101.752,0.1445,Caledonian Sleeper Ltd.,GB,CS 1003 (E),London Euston,Edinburgh Waverley,1899-12-30T23:45:00.000Z,1899-12-30T07:30:00.000Z,NUIT
1238.0,16.9,195.604,0.0864,Укрзалізниця,UA,UZ 042,Truskavets,Dnipro Holovny,1899-12-30T12:55:00.000Z,1899-12-30T09:25:00.000Z,NUIT
556.0,0.18,87.848,0.002,SJ Norge AS,NO,SJN 406,Trondheim,Oslo S,1899-12-30T23:17:00.000Z,1899-12-30T06:50:00.000Z,NUIT
441.0,8.82,69.678,0.1266,Укрзалізниця,UA,JOUR_UZ_8830,Kharkiv Pasazhyrskyi,Kyiv Pasazhyrskyi,1899-12-30T07:50:00.000Z,1899-12-30T12:18:00.000Z,JOUR
447.0,10.728,70.626,0.1519,ÖBB-Personenverkehr AG,AT,JOUR_OBB_592,Wien Hauptbahnhof,Innsbruck Hauptbahnhof,1899-12-30T07:40:00.000Z,1899-12-30T11:28:00.000Z,JOUR
1052.0,1.1,166.216,0.0066,SJ AB,SE,SJ Nattåg 94 (L),Stockholm C,Luleå C,1899-12-30T18:08:00.000Z,1899-12-30T06:44:00.000Z,NUIT
444.0,9.1,70.152,0.1297,БДЖ - Пътнически превози ЕООД,BG,BDŽ 8627,Sofia,Burgas,1899-12-30T22:25:00.000Z,1899-12-30T05:50:00.000Z,NUIT
564.0,11.2,89.112,0.1257,Укрзалізниця,UA,UZ 092,Lviv,Kyiv Pasazhyrskyi,1899-12-30T23:05:00.000Z,1899-12-30T06:19:00.000Z,NUIT
611.0,15.275,96.502,0.1583,České dráhy a.s.,CZ,JOUR_CD_9120,Praha Hlavni,Ostrava Hlavni,1899-12-30T08:05:00.000Z,1899-12-30T13:15:00.000Z,JOUR
811.0,18.0,128.138,0.1405,TCDD Taşımacılık A.Ş.,TR,TCDD 32005,İzmir Basmane,Ankara,1899-12-30T19:05:00.000Z,1899-12-30T08:33:00.000Z,NUIT
